,noun_phrase,entity,entity_type
1482,He,DNC Chairman Tom Perez,PERSON
1483,Trump,former Massachusetts Gov. William Weld,PERSON
1484,the women senators,Kamala Harris,PERSON
1485,I,Jimmy Stewart’s Mr. Smith,PERSON
1486,corn and ethanol producers,former EPA chief Scott Pruitt,PERSON
1487,Accusations,Biden,PERSON
1488,It,Biden,PERSON
1489,inbound (eastbound) traffic,Kelly Drive,PERSON
1490,Biden,Delaware,GPE
1491,de Blasio,Vermont Sen. Bernie Sanders,PERSON
1492,a whistleblower complaint,Ukraine,GPE
1493,the intelligence community’s whistleblower complaint,Ukraine,GPE
1494,who,Ukraine,GPE
1495,the complaint,President Trump,PERSON
1496,who,Harris,PERSON
1497,MORE.Giuliani,Cuomo,PERSON
1498,he,Ukraine,GPE
1499,Trump,Ukraine,GPE
1500,he,Ukraine,GPE
1501,you,the Ukraine,GPE
1502,you,Ukraine,GPE
1503,he,President Donald Trump,PERSON
1504,Former Vice President Joe Biden,Philadelphia,GPE
1505,then-US vice president Joe Biden,Lee,PERSON
1506,he,Joe Biden,PERSON
1507,I,Kamala,PERSON
1508,I,Kamala Harris,PERSON
1509,California,Kamala Country,GPE
1510,nobody,California,GPE
1511,no one,California,GPE
1512,Latest polls,Biden,PERSON
1513,Some,Oklahoma,GPE
1514,it,Joe Biden,PERSON
1515,it,Elizabeth Warren,PERSON
1516,We,Donald Trump,PERSON
1517,which,Biden,PERSON
1518,I,Joe,PERSON
1519,Other environmental groups,Biden,PERSON
1520,that,the U.S.,GPE
1521,I,America,GPE
1522,they,America,GPE
1523,That,Guatemala,GPE
1524,about 7 to 9 million voters,Barack Obama,PERSON
1525,Deep State,Hillary,PERSON
1526,Deep State,Donald Trump,PERSON
1527,the list,Condoleezza Rice,PERSON
1528,Democrats,Donald Trump,PERSON
1529,he,Joe Biden,PERSON
1530,I,Kamala,PERSON
1531,I,Kamala Harris,PERSON
1532,California,Kamala Country,GPE
1533,nobody,California,GPE
1534,no one,California,GPE
1535,Tivity Health,Nutrisystem,PERSON
1536,Investors,Jim Cramer's,PERSON
1537,The history,Jim Cramer,PERSON
1538,the Markets,Jim Cramer,PERSON
1539,he,Nvidia,PERSON
1540,Investors,Jim Cramer,PERSON
1541,Lieberman,Gantz,PERSON
1542,Joint List,Gantz,PERSON
1543,We,Kyrsten Sinema,PERSON
1544,that,California,GPE
1545,Lieberman,Gantz,PERSON
1546,Joint List,Gantz,PERSON
1547,We,Kyrsten Sinema,PERSON
1548,that,California,GPE
1549,He,Biden,PERSON
1550,he,Biden,PERSON
1551,The problem,Joe,PERSON
1552,Trump,US Vice President Mike Pence,PERSON
1553,He,Joe Biden,PERSON
1554,Rory Stewart,Boris Johnson,PERSON
1555,Trump,Clinton,PERSON
1556,he,Washington,GPE
1557,I,Bernie,PERSON
1558,he,Israeli prime minister Benjamin Netanyahu,PERSON
1559,Sanders,Netanyahu,PERSON
1560,he,the most popular Jew,GPE
1561,The Pennsylvania Republican’s victory,President Donald Trump,PERSON
1562,he,Keller,PERSON
1563,Trump,Keller,PERSON
1564,Trump,GOP congressional candidate Fred Keller,PERSON
1565, Giuliani,Yermak,PERSON
1566,he,Yermak,PERSON
1567,Mr. Giuliani,Mr. Trump,PERSON
1568,Sears,Mnuchin,PERSON
1569,The period,Vice President Joe Biden,PERSON
1570,The latest polls,Biden,PERSON
1571,that,President Donald Trump,PERSON
1572,you,Jean Finnegan,PERSON
1573,she,Scranton,PERSON
1574,Barack Obama,Biden,PERSON
1575,Scrantonians,Biden,PERSON
1576,I,Scranton,PERSON
1577,the Democratic presidential contender,Pennsylvania,GPE
1578,it,the new Peoria,GPE
1579,the results,in northeast Pennsylvania,GPE
1580,he,Mayor Pete Buttigieg,PERSON
1581,Delaware,Biden,PERSON
1582,which,pure Trump,PERSON
1583,Trump,"""crazy"" Vermont Sen. Bernie Sanders",PERSON
1584,they,celebrity astrophysicist Neil deGrasse Tyson,PERSON
1585,it,the troubled R&B artist R. Kelly,PERSON
1586,Host Jimmy Kimmel,Harvey Weinstein,PERSON
1587,Madigan,Alaina Hampton,PERSON
1588,actress Uma Thurman,disgraced movie mogul Harvey Weinstein,PERSON
1589,2017 Actress Ashley Judd,media mogul Harvey Weinstein,PERSON
1590,The Senate Judiciary Committee's hearing,Washington,GPE
1591,five women,Franco,GPE
1592,Trump,Irish Prime Minister Leo Varadkar,PERSON
1593,many Democrats,Trump,PERSON
1594,who,Nixon,PERSON
1595,The poll,32% support Biden,PERSON
1596,Democrats,America,GPE
1597,he,President Trump,PERSON
1598,The new Fox News poll,Biden,PERSON
1599,our own early published polls,Elizabeth Warren,PERSON
1600,Warren,Biden,PERSON
1601,the Justice Department,Democratic lobbyist Tony Podesta,PERSON
1602,Vladimir Putin,Ukraine,GPE
1603,the hurricane,Alabama,GPE
1604,Dorian,Florida,GPE
1605,Republicans,Carter,PERSON
1606,Trump,Queen Elizabeth II,PERSON
1607,Trump,Irish Prime Minister Leo Varadkar,PERSON
1608,we,Donald Trump,PERSON
1609,he,Joe Biden,PERSON
1610,He,Kamala Harris,PERSON
1611,Trump,Pennsylvania,GPE
1612,he,both Warren,GPE
1613,Trump,Michigan,GPE
1614,the FBI,President Obama,PERSON
1615,he,Russian President Vladimir Putin,PERSON
1616,US petroleum,Russia,GPE
1617,it,Saudi Arabia,GPE
1618,We,China,GPE
1619,that,Obama,GPE
1620,that,Mexico,GPE
1621,he,Clinton,PERSON
1622,The group,Clinton,PERSON
1623,former U.S. service members,Donald Trump,PERSON
1624,Other memes,special counsel Robert S. Mueller III,PERSON
1625,that,the name “Arsov,PERSON
1626,The forum,former Vice President Joe Biden,PERSON
1627,Pilon,WUSA9,PERSON
1628,New legislation,Washington,GPE
1629,(AP Photo/Jacquelyn Martin,D.C.,GPE
1630,“Hollyweird,Sean Spicer,PERSON
1631,Gov. Michelle Lujan Grisham,Todd Christensen,PERSON
1632,former vice president Joe Biden,President Trump,PERSON
1633,Trump,Wisconsin,GPE
1634,he,Donald Trump,PERSON
1635,the Working Families Party,Sen. Elizabeth Warren,PERSON
1636,Casca,Dave Weigel,PERSON
1637,I,Warren,PERSON
1638,Pennsylvania,Donald Trump,PERSON
1639,what,Justice Thomas,PERSON
1640,the Democrats,Donald J. Trump,PERSON
1641,It,former Vice President Joseph Biden,PERSON
1642,I,Joe Biden,PERSON
1643,Warren,North Carolina,GPE
1644,they,North Carolina,GPE
1645,residents,Mr. Trump,PERSON
1646,who,Harris,PERSON
1647,they,Harris,PERSON
1648,He,former Texas congressman Beto O’Rourke,PERSON
1649,He,Sen. Elizabeth Warren,PERSON
1650,he,Trump-supporting player Nick Bosa,PERSON
1651,this,Don,PERSON
1652,” Elliott Lasky,the Herald,PERSON
1653,The list,Robert O’Brien,PERSON
1654,CarsonBenjamin,Mariano Rivera,PERSON
1655,Lewandowski,Mueller,PERSON
1656,The Hill).Lewandowski,Berke,PERSON
1657,he,Katie Pavlich,PERSON
1658,GOP,Obama,PERSON
1659,hits,Katie Pavlich,PERSON
1660,that,the United States,GPE
1661,who,President Trump,PERSON
1662,his assessments,Carter,PERSON
1663,Republicans,Carter,PERSON
1664,Pennsylvania,Donald Trump,PERSON
1665,North Korea,Joe Biden,PERSON
1666,the US presidential hopeful,Kim Jong Un,PERSON
1667,the North,former president Barack Obama,PERSON
1668,the US,North Korea,GPE
1669,CreditAlicia Vera,Mr. Biden,PERSON
1670,who,Mr. Biden,PERSON
1671,it,Biden,PERSON
1672,she,Mr. Biden,PERSON
1673,who,Mr. Obama,PERSON
1674,she,Senator Kamala Harris,PERSON
1675,Eizenstat,the U.S.,GPE
1676,Pennsylvania,Donald Trump,PERSON
1677,The poll,Biden,PERSON
1678,Purdue,Robert D. Drain,PERSON
1679,The lawmakers,Reps. Colin Allred,PERSON
1680,Purdue,Robert D. Drain,PERSON
1681,The lawmakers,Reps. Colin Allred,PERSON
1682,One,Hamilton,PERSON
1683,I,Tom Nichols,PERSON
1684,Journalists,Penn,PERSON
1685,Penn,anti-Semitic congressional candidate Paul Nehlen,PERSON
1686,I,Tom Nichols,PERSON
1687,one questioner,Harris,PERSON
1688,I,Tom Nichols,PERSON
1689,I,Tom Nichols,PERSON
1690,Nobody,Obama,PERSON
1691,The NBC-Journal poll,Biden,PERSON
1692,A poll,Biden,PERSON
1693,John KerryJohn Forbes KerryLet,Charlie Brown,PERSON
1694,US,China,GPE
1695,Sanders,Biden,PERSON
1696,who,Democrat Marc Friedenberg,PERSON
1697,Trump,Keller,PERSON
1698,Pennsylvania,Donald Trump,PERSON
1699,who,Democrat Marc Friedenberg,PERSON
1700,Trump,Clinton,PERSON
1701,former Vice President Joe Biden,Pennsylvania,GPE
1702,The president,even Democratic contender Bernie Sanders,PERSON
1703,The only two candidates,Senator Kamala Harris,PERSON
1704,The president,former Vice President Joe Biden,PERSON
1705,I,Barr,PERSON
1706,Several members,Clinton,PERSON
1707,she,Biden,PERSON
1708,Harris,President Donald Trump,PERSON
1709,The Senator,former Texas Rep. Beto O’Rourke,PERSON
1710,Candidates,California Sen. Kamala Harris,PERSON
1711,Donald Trump,Donald Trump,PERSON
1712,Genuine entrepreneurs,Donald Trump,PERSON
1713,I,marijuana nationally,PERSON
1714,Who,Donald Trump,PERSON
1715,Warren,North Carolina,GPE
1716,they,North Carolina,GPE
1717,his policies,Harris,PERSON
1718,who,Biden,PERSON
1719,I,Donald Trump,PERSON
1720,I,Kosovo,GPE
1721,Stephen Colbert,Joe Biden,PERSON
1722,Colbert,Biden,PERSON
1723,He,Colbert,PERSON
1724,you,New Hampshire,GPE
1725,Booker,Biden,PERSON
1726,"
Flanking Sanders",Montana Gov. Steve Bullock,PERSON
1727,"
Flanking Sanders",Ohio Rep. Tim Ryan,PERSON
1728,he,Donald Trump,PERSON
1729,he,Trump,PERSON
1730,He,Buttigieg,PERSON
1731,Former Vice President Joe Biden,New Jersey Sen. Cory Booker,PERSON
1732,2020,President Trump,PERSON
1733,Trump,the Prozac,PERSON
1734,Canada,the Czech Republic,GPE
1735,It,Hillary Clinton,PERSON
1736,it,Biden,PERSON
1737,Our executive producer,Gretta Cohn,PERSON
1738,who,Minnesota,GPE
1739,which,Iowa,GPE
1740,White House press secretary Sarah Huckabee Sanders,President Trump,PERSON
1741,Jong Un,former Vice President Joe Biden,PERSON
1742,Kim Jong Un,Joe Biden,PERSON
1743,That,Bernie,PERSON
1744,they,Biden,PERSON
1745,she,” Kim,PERSON
1746,he,Swampman Joe Biden,PERSON
1747,he,Swampman Joe Biden,PERSON
1748,the president,” Kim,PERSON
1749,he,North Korea,GPE
1750,Sila Inanoglu,Julián Castro,PERSON
1751,he,former Vice President Joseph R. Biden Jr.,PERSON
1752,the question,Mr. Biden,PERSON
1753,which,Mr. Booker,PERSON
1754,the other end,Ms. Klobuchar,PERSON
1755,de Blasio,Vermont Sen. Bernie Sanders,PERSON
1756,North Korea,Joe Biden,PERSON
1757,the North,Mr Obama,PERSON
1758,the United States,North Korea,GPE
1759,he,Oxycontin producer Purdue Pharma,PERSON
1760,de Blasio,Vermont Sen. Bernie Sanders,PERSON
1761,hits,Mark Mellman,PERSON
1762,Trump pollster,Rand Paul,PERSON
1763,hits,Mark Mellman,PERSON
1764,she,Kennedy,PERSON
1765,Biden,President Barack Obama,PERSON
1766,I,Robert C. O’Brien,PERSON
1767,POLITICO PAGING MIKE POMPEO … “Republican Kobach Trails Democrat Grissom,Democrat Barry Grissom,PERSON
1768,Mike Pompeo,Mr. Kobach,PERSON
1769,two,GOP Sen. Martha McSally,PERSON
1770,her,Democrat Mark Kelly,PERSON
1771,Iran,U.S.,GPE
1772,Iran,the United States,GPE
1773,that,Donald Trump,PERSON
1774,we,Puerto Rico,GPE
1775,which,Puerto Rico,GPE
1776,Sanders,former Vice President Joe Biden,PERSON
1777,Sanders,former Vice President Joe Biden,PERSON
1778,That,the complicated dance Warren,GPE
1779,Twenty four percent,Joe Biden,PERSON
1780,16 percent,Bernie Sanders,PERSON
1781,15 percent,Elizabeth Warren,PERSON
1782,14 percent,Pete Buttigieg,PERSON
1783,7 percent,Kamala Harris,PERSON
1784,de Blasio,Vermont Sen. Bernie Sanders,PERSON
1785,That,Bernie,PERSON
1786,they,Biden,PERSON
1787,it,Joe Biden,PERSON
1788,that,President Donald Trump,PERSON
1789,"
“U.N. Security Council resolutions",North Korea,GPE
1790,he,John McCain,PERSON
1791,he,Joe Biden,PERSON
1792,Trump,Kim,PERSON
1793,that,Japan,GPE
1794,that,the U.S.,GPE
1795,Abe,Iran,GPE
1796,"A $60,000 minimum",the U.S.,GPE
1797,who,President Donald Trump,PERSON
1798,Warren,Detroit,GPE
1799,Trump,Michigan,GPE
1800,Other articles,Johnson,PERSON
1801,she,Mr. Hendrix,PERSON
1802,I,Robert,PERSON
1803,He,Michelangelo,PERSON
1804,who,Prince Philip,PERSON
1805,Gilda Radner,Candy Slice,PERSON
1806,“I,Gilda Radner,PERSON
1807,who,Maria Callas,PERSON
1808,CreditAndre D. Wagner,Mr. Trump,PERSON
1809,I,Bob Dylan,PERSON
1810,you,Jimi Hendrix,PERSON
1811,I,up to 102.Maureen Dowd,PERSON
1812,Donald Trump,Hillary Clinton,PERSON
1813,He,Clinton,PERSON
1814,the real “low IQ idiot,Joe Biden,PERSON
1815,It,Donald Trump,PERSON
1816,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
1817,No one,Trump,PERSON
1818,Trump,de Blasio,PERSON
1819,any other Democrat,Biden,PERSON
1820,that,Biden,PERSON
1821,that,Eric Trump,PERSON
1822,His name,Thae Yong Ho,PERSON
1823,the rest,Biden,PERSON
1824,who,Biden,PERSON
1825,he,Swampman Joe Biden,PERSON
1826,he,President Donald Trump,PERSON
1827,Former Vice President Joe Biden,Philadelphia,GPE
1828,Abe,Trump,PERSON
1829,"
Democrats' latest White House contender",Biden,PERSON
1830,US Sen. Elizabeth Warren,Biden,PERSON
1831,59\%,Warren second,PERSON
1832,primary voters,Warren,GPE
1833,he,Biden,PERSON
1834,It,Reid,PERSON
1835,Obama,former Ohio Attorney General Richard Cordray,PERSON
1836,A Monmouth University poll,Warren,GPE
1837,who,Warren,GPE
1838,who,Biden,PERSON
1839,President Donald Trump,former Vice President Joe Biden,PERSON
1840,an unborn baby,Terri Collins,PERSON
1841,A more surprising critic,Supreme Court Justice Ruth Bader Ginsburg,PERSON
1842,God,America,GPE
1843,President Donald Trump,former Vice President Joe Biden,PERSON
1844,He,Abe,PERSON
1845,He,CNN’s Ana Cabrera,PERSON
1846,Sarah Huckabee Sanders,NBC News' Chuck Todd,PERSON
1847,North Korea's state news service,Biden,PERSON
1848,who,13-year-old Jayme Closs,PERSON
1849,"
'Virgin birth",A female anaconda,GPE
1850,His name,Thae Yong Ho,PERSON
1851,Emperor Naruhito,President Donald Trump,PERSON
1852,Mrs. Trump,Empress Masako,PERSON
1853,Iranian Foreign Minister Mohammad Javad Zarif,Tokyo,GPE
1854,Biden,President Trump,PERSON
1855,US President Donald Trump,Japanese Prime Minister Shinzo Abe,PERSON
1856,businesses,China,GPE
1857,The two leaders,Iran,GPE
1858,Democratic Presidential Hopeful Klobuchar Proposes,Ethanol Rules,PERSON
1859,he,Swampman Joe Bidan,PERSON
1860,No one,Trump,PERSON
1861,Trump,de Blasio,PERSON
1862,any other Democrat,Biden,PERSON
1863,that,Biden,PERSON
1864,that,Eric Trump,PERSON
1865,One,Vermont Senator Bernie Sanders,PERSON
1866,Sanders,Biden,PERSON
1867,which,Biden,PERSON
1868,The latest polls,Biden leading Vermont Senator Bernie Sanders,PERSON
1869,many Democrats,Biden,PERSON
1870,"WORTH WATCHING
Brexit and UK's voting","the EU
Jeremy Hunt",PERSON
1871,the National Education Association,Clinton,PERSON
1872,who,President Donald Trump,PERSON
1873,Warren,Detroit,GPE
1874,Trump,Michigan,GPE
1875,that,Joe Biden,PERSON
1876,He,Zlochevsky,PERSON
1877,Biden,Shokin,PERSON
1878,Zlochevsky,Ukraine,GPE
1879,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
1880,Mr. Sanders,President Trump,PERSON
1881,Video,Mr. Cooper,PERSON
1882,Mr. Sanders,Martha McCallum,PERSON
1883,that,Vermont,GPE
1884,North Korea’s state media,Mr. Biden,PERSON
1885,he,Swampman Joe Biden,PERSON
1886,she,Kim Jong-un,PERSON
1887,He,Ingraham,PERSON
1888,the name,Don Jr.,PERSON
1889,this,Don Jr,PERSON
1890,I,Kamala Harris,PERSON
1891,Mr. Sanders,President Trump,PERSON
1892,Video,Mr. Cooper,PERSON
1893,Mr. Sanders,Martha McCallum,PERSON
1894,that,Vermont,GPE
1895,this,President Trump,PERSON
1896,it,Joe Biden,PERSON
1897,which,Joe Biden,PERSON
1898,Those allegations,Biden,PERSON
1899,he,Ukraine,GPE
1900,you,the Ukraine,GPE
1901,I,the Ukraine,GPE
1902,you,Ukraine,GPE
1903,you,Ukraine,GPE
1904,they,Ukraine,GPE
1905,He,Kornbluh,PERSON
1906,he,Biden,PERSON
1907,he,Donald Trump,PERSON
1908,Trump,Zelensky,PERSON
1909,Trump,Ukraine,GPE
1910,what,Barack Obama,PERSON
1911,I,Obama,PERSON
1912,I,Biden,PERSON
1913,they,Biden,PERSON
1914,they,Biden,PERSON
1915,who,Biden,PERSON
1916,Trump,Kim,PERSON
1917,Trump,Joe Biden,PERSON
1918,Trump,Japan,GPE
1919,Early Poll,Biden Beating Trump,PERSON
1920,Trump,Russell Pickett,PERSON
1921,mainstream media outlets,his UK,GPE
1922,Beto O’Rourke,2020 Democratic presidential hopeful Beto O’Rourke,PERSON
1923,O’Rourke,Beto O’Rourke,PERSON
1924,he,Republican Sen. Ted Cruz,PERSON
1925,they,President Trump,PERSON
1926,him,Biden,PERSON
1927,He,former Vice President Joe Biden,PERSON
1928,30%,Warren,PERSON
1929,she,Biden,PERSON
1930,Kim Jong-un,United States president Donald Trump,PERSON
1931,that,Biden,PERSON
1932,Matt Thornton,son Ridley,PERSON
1933,McClatchy’s Michael Wilner,Kerry Rom,PERSON
1934,T. Boone Pickens,Florian Eder,PERSON
1935,he,Joe Biden,PERSON
1936,I,Kamala,PERSON
1937,I,Kamala Harris,PERSON
1938,California,Kamala Country,GPE
1939,nobody,California,GPE
1940,no one,California,GPE
1941,mayor,loose fundraiser Steve Elmendorf,PERSON
1942,it,Nina Turner,PERSON
1943,they,New Jersey Sen. Cory Booker,PERSON
1944,He,former Vice President Joe Biden,PERSON
1945,SEOUL,U.S. National Security Adviser John Bolton,PERSON
1946,North Korea,Washington,GPE
1947,President Donald Trump,former media mogul Conrad Black,PERSON
1948,They,Us,GPE
1949,that,Ms. Klobuchar,PERSON
1950,who,Ms. Klobuchar,PERSON
1951,The first two debates,Ms. Klobuchar,PERSON
1952,White House Press Secretary Sarah Huckabee Sanders,President Trump,PERSON
1953,CNN,Sarah Sanders,PERSON
1954,Trump,Rex Tillerson,PERSON
1955,Joe Biden,Kim Jong Un,PERSON
1956,North Korea,Biden,PERSON
1957,North Korean state media,former U.S. Vice President Joe Biden,PERSON
1958,Kim Jong-un,United States president Donald Trump,PERSON
1959,that,former Texas Rep. Beto O’Rourke,PERSON
1960,who,Hillary Clinton,PERSON
1961,we,Obama,PERSON
1962,He,former Vice President Joe Biden,PERSON
1963,"
Biden",President Trump,PERSON
1964,"
USATODAY.com",Joe Biden,PERSON
1965,"Trump
North Korean state media",former U.S. Vice President Joe Biden,PERSON
1966,North Korea,U.S.,GPE
1967,North Korea,Washington,GPE
1968,Severe droughts,Angola,GPE
1969,North Korea,the United States,GPE
1970,S. Korea,SEOUL,GPE
1971,the North,Obama,GPE
1972,the United States,North Korea,GPE
1973,Speaker,President Trump,PERSON
1974,Tuba City,Dr. Jill Biden,PERSON
1975,President Nez,Lynette Bonar,PERSON
1976,which,Kahl,PERSON
1977,which,Brennan,PERSON
1978,The President,Comey,PERSON
1979,that,the United States,GPE
1980,he,Swampman Joe Biden,PERSON
1981,That,Bernie,PERSON
1982,they,Biden,PERSON
1983,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
1984,the US,Kim Song,PERSON
1985,Trump,the US,GPE
1986,Trump,the US,GPE
1987,it,Iran,GPE
1988,we,an Iran,GPE
1989,Trump's senior economic officials,China,GPE
1990,that,the US,GPE
1991,he,President Donald Trump,PERSON
1992,he,President Donald Trump,PERSON
1993,who,Yulin Cruz,PERSON
1994,So far at least six candidates,DeVos,PERSON
1995,Others,former Vice President Joe Biden,PERSON
1996,which,Democrat Hillary Clinton,PERSON
1997,Democrats,DeVos,PERSON
1998,One ad,Republican Gov. Larry Hogan,PERSON
1999,win,Robeson County,GPE
2000,that,the US,GPE
2001,”Greenpeace,Former Vice President Joe Biden,PERSON
2002,North Korean leader Kim Jong-un,former Vice President Joe Biden,PERSON
2003,he,Swampman Joe Biden,PERSON
2004,Recent related videos,Barack Obama Surprises Kids,PERSON
2005,Michelle,Former President Barack Obama,PERSON
2006,"
Pete Buttigieg",Pete Buttigieg,PERSON
2007,Coons,former President Barack Obama,PERSON
2008,you,Elizabeth Warren,PERSON
2009,Warren,hopeful Joe Biden,PERSON
2010,Warren,sponsor SJ Res,PERSON
2011,Sanders,the only Congressperson,PERSON
2012,Warren,SJ Res,PERSON
2013,She,",” Jehan Hakim",PERSON
2014,Another key adviser,Ganesh Sitaraman,PERSON
2015,that,President Obama,PERSON
2016,The Senate bill,the United States,GPE
2017,it,Warren,GPE
2018,"
Mexico president",Tory leadership contender Rory Stewart,PERSON
2019,she,Jamal Simmons,PERSON
2020,that,President Donald Trump,PERSON
2021,U.S. President Donald Trump,"
Reuters India",GPE
2022,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
2023,de Blasio,Vermont Sen. Bernie Sanders,PERSON
2024,Trump,Asanoyama,GPE
2025,Trump,Japan,GPE
2026,We,EVMS,PERSON
2027,Republican Congressman Adam Kinzinger,Donald Trump,PERSON
2028,GOP Rep Adam Kinzinger,Pres Donald Trump,PERSON
2029,she,” Kim,PERSON
2030,Trump,Abe,PERSON
2031,he,North Korea,GPE
2032,” Kahl,Al-Monitor,PERSON
2033,A motorcade,Abe,PERSON
2034,we,Gary,PERSON
2035,Biden,Kim,PERSON
2036,North Korea,Biden,PERSON
2037,he,the U.S.,GPE
2038,The Trump administration,Japan,GPE
2039,North Korea,Joe Biden ',PERSON
2040,I,"A Low IQ Individual And Worse'
President Trump",PERSON
2041,Colbert,Harris,PERSON
2042,the law,President Donald Trump,PERSON
2043,de Blasio,Vermont Sen. Bernie Sanders,PERSON
2044,Bedingfield,Biden,PERSON
2045,We,Joe Biden,PERSON
2046,any,Biden,PERSON
2047,No one,Kirsten Gillibrand,PERSON
2048,Bernie Sanders,Vermont,GPE
2049,The person,Joe Biden,PERSON
2050,"
“Gregg",Gregg Jarrett,PERSON
2051,The plan,Horowitz,PERSON
2052,This,Stalin’s Russia,GPE
2053,who,Omaha Beach,GPE
2054,he,Swampman Joe Biden,PERSON
2055,that,the United States,GPE
2056,that,the United States,GPE
2057,that,Sister Keehan,PERSON
2058,who,Biden,PERSON
2059,Booker,both the Torah,PERSON
2060,Singapore,the U.S.,GPE
2061,China,America,GPE
2062,National Security Adviser John Bolton,Iran,GPE
2063,moment,America,GPE
2064,Trump,Iran,GPE
2065,that,O.K.,PERSON
2066,that,Japan,GPE
2067,He,former Vice President Joe Biden,PERSON
2068,"
Mexico president",Tory leadership contender Rory Stewart,PERSON
2069,He,former Vice President Joe Biden,PERSON
2070,The others,Vice President Joe Biden,PERSON
2071,The others,O’Rourke,PERSON
2072,The others,Vermont Sen. Bernie Sanders,PERSON
2073,Those candidates,Montana Gov. Steve Bullock,PERSON
2074,who,opposing Cruz,PERSON
2075,the law,President Trump,PERSON
2076,State Republicans,Biden,PERSON
2077,Trump,Hillary Clinton,PERSON
2078,Biden,Philadelphia,GPE
2079,Democratic presidential candidate Pete Buttigieg,President Donald Trump,PERSON
2080,he,Swampman Joe Bidan,PERSON
2081,he,Margaret Brennan,PERSON
2082,who,Clinton,PERSON
2083,they,Clinton,PERSON
2084,who,Clinton,PERSON
2085,they,Biden,PERSON
2086,it,America,GPE
2087,the U.S.,President Donald Trump,PERSON
2088,I,Donald Trump,PERSON
2089,I,Joe Biden,PERSON
2090,North Korea,Joe Biden,PERSON
2091,"
Biden",President Trump,PERSON
2092,"
USATODAY.com",Joe Biden,PERSON
2093,U.S. President Donald Trump,North Korea,GPE
2094,various critics,Democratic Rep. Ted Lieu,PERSON
2095,President Trump,Joe Scarborough,PERSON
2096,an unborn baby,Terri Collins,PERSON
2097,A more surprising critic,Supreme Court Justice Ruth Bader Ginsburg,PERSON
2098,God,America,GPE
2099,North Korea’s Kim Jong Un,Biden,PERSON
2100,Trump,Kim,PERSON
2101,that,the U.S.,GPE
2102,Pompeo,Russia,GPE
2103,he,Sochi,GPE
2104,you,Biden,PERSON
2105,most,Senator Warren,PERSON
2106,who,Mr. Biden,PERSON
2107,He,Uncle Joe,PERSON
2108,he,Iowa,GPE
2109,de Blasio,Vermont Sen. Bernie Sanders,PERSON
2110,Adams,Sen. Bernie Sanders,PERSON
2111,the network,Dana Bash,PERSON
2112,them,Fruman,PERSON
2113,The media,Biden,PERSON
2114,Trump,Irish Prime Minister Leo Varadkar,PERSON
2115,Rick Perry,President Donald Trump,PERSON
2116,which,Ukraine,GPE
2117,that,U.S.,GPE
2118,that,Israel,GPE
2119,I,Iran,GPE
2120,Carville,host John Catsimatidis,PERSON
2121,Rick Perry,President Donald Trump,PERSON
2122,which,Ukraine,GPE
2123,that,U.S.,GPE
2124,that,Israel,GPE
2125,I,Iran,GPE
2126,A former Republican congressman,President Trump,PERSON
2127,That,Bernie,PERSON
2128,they,Biden,PERSON
2129,that,Japan,GPE
2130,he,the U.S.,GPE
2131,The Trump administration,Japan,GPE
2132,Trump,Libya,GPE
2133,Trump,Irish Prime Minister Leo Varadkar,PERSON
2134,the law,President Donald Trump,PERSON
2135,The Alabama law,","" David Flaherty",PERSON
2136,the Republicans,Trump,PERSON
2137,who,Hillary Clinton,PERSON
2138,Joe Biden,Trump,PERSON
2139,Joe Biden,Joe Biden,PERSON
2140,she,the US,GPE
2141,generational differences,Mr. Inslee,PERSON
2142,Mr. Inslee,former Vice President Joseph R Biden Jr.,PERSON
2143,Mitch McConnell,O.K.,PERSON
2144,She,CNN’s Anderson Cooper,PERSON
2145,You,Patton,PERSON
2146,he,James Comey,PERSON
2147,A European diplomat,Al-Monitor,PERSON
2148,"
Co-host Jesse Watters",Kennedy,PERSON
2149,Even Fox News,Judge Andrew Napolitano,PERSON
2150,we,Joe,PERSON
2151,Joe”—also,Clinton,PERSON
2152,they,Hillary,PERSON
2153,The candidate,entrepreneur Andrew Yang,PERSON
2154,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
2155,They,President Donald Trump,PERSON
2156,Trump,Joe Biden,PERSON
2157,The person,Joe Biden,PERSON
2158,who,JFK,PERSON
2159,that,Joe Biden,PERSON
2160,any move,Barr,PERSON
2161,Ed Meese,Lawrence Walsh,PERSON
2162,Janet Reno,Robert Fiske,PERSON
2163,her,President Trump,PERSON
2164,that,Donald Trump,PERSON
2165,Joe Biden,Winston Churchill,PERSON
2166,who,Harris,PERSON
2167,Warren,Lipinski challenger Marie Newman,PERSON
2168,He,North Carolina,GPE
2169,That,Bernie,PERSON
2170,they,Biden,PERSON
2171,Meeks,CNN’s Brooke Baldwin,PERSON
2172,He,former Vice President Joe Biden,PERSON
2173,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
2174,He,Biden,PERSON
2175,New Hampshire voters,"
Ryan Buchanan",PERSON
